,Alpha,Avg_MSE,Avg_R2
0,0.05,0.993250036100299,-0.010105025100877074
1,0.060000000000000005,0.9200095638013469,0.08165835833264638
2,0.07,0.924515548377839,0.08130224089988088
3,0.08,0.9292202722298043,0.080595446346758
4,0.09,0.9344131904050423,0.07918586016750222
5,0.1,0.9399552885139879,0.07736768973563013
6,0.11,0.9458365817668675,0.0751531855487118
7,0.12000000000000001,0.9520363791896104,0.07256792260405051
8,0.13,0.958305083781217,0.06985710419609759
9,0.14,0.9646404956823353,0.06701535160588026
10,0.15000000000000002,0.9709723544758548,0.06423278439229567
11,0.16,0.9775959018864112,0.06115641591734451
12,0.16999999999999998,0.9835904246702306,0.05822964407020492
13,0.18,0.9881953899218756,0.05601154625077176
14,0.19,0.9929217080286245,0.05377074047716772
15,0.2,0.9977552965833135,0.051309404074960076
16,0.21000000000000002,1.0024987296149581,0.04893050408745767
17,0.22000000000000003,1.0073938437757834,0.04636259556066589
18,0.22999999999999998,1.012441560608319,0.04359529709155363
19,0.24,1.0170086974273533,0.041110356736982066
20,0.25,1.0210095935216068,0.0390281869109196
21,0.26,1.025144553519813,0.03677401274882055
22,0.27,1.0294105449875817,0.03435220420148357
23,0.28,1.0338043269052541,0.031767147503514684
24,0.29,1.0383456662699733,0.029008912954748656
25,0.3,1.043038997958854,0.02603432336494995
26,0.31,1.0478412949840947,0.02292316161760579
27,0.32,1.0527472058037035,0.019684435125576782
28,0.33,1.0577536162989354,0.016322361681387364
29,0.33999999999999997,1.0617277088257064,0.013653681747775415
30,0.35,1.065269169763296,0.011272613656585495
31,0.36,1.0690159159296688,0.008715390904994735
32,0.37,1.0728527167547048,0.0060557261476515524
33,0.38,1.0767546378309003,0.0033110098505015227
34,0.39,1.0807219673401267,0.0004130954442180368
35,0.4,1.084830834058618,-0.0027140280227555768
36,0.41,1.088599703669463,-0.005437765465552124
37,0.42,1.0917276248396746,-0.007766761907943209
38,0.43,1.0947209164411622,-0.009989006986500782
39,0.44,1.0977533666883208,-0.01224492391575025
40,0.45,1.1008244223809633,-0.014533956134810455
41,0.46,1.1039331123892193,-0.01685529706860902
42,0.47,1.107078904571887,-0.01920841215097775
43,0.48,1.1102608632458384,-0.021592519550084878
44,0.49,1.1134757561288953,-0.02399793609769425
45,0.5,1.1166054419167124,-0.026028935889240334
