,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251
0,-0.0,-0.01677270394887099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02897270458853787,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0031896120495756674,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.003190141393543196,-0.0,-0.0,-0.0,-0.062729372651626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.006372211682021243,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0037174292128807625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037156780708875754,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0524225613434947,0.0,0.0,0.0,0.0,0.0,0.0024578566416222033,0.0,0.0,0.0,0.05242596796045605,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.03338279325226656,0.034004261429588845,0.03439768625974377,-0.0,-0.0,0.0,0.0,0.014063126543593629,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.004898297797909854,0.0,0.0,0.0,0.00889532066270412,0.03411639782358871,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0039024522156642454,0.0,0.0,0.0,0.008120869866991266,0.032711557603167137,0.0,0.0,0.0,0.0,-0.0,0.0,0.0032111334199965195,0.0,0.0,0.0,0.007855289612428696,0.032887094995245454,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013739155557080225,0.07465173939377277,0.07465222618382296,0.07465270810698627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.006947785783222361,-0.007033363323666276,-0.006912418145767213,-0.0,-0.006705939931423796,-0.006620107243424613,-0.0,-0.0067406689805726136,-0.0,-0.0
1,-0.0,-0.015983953082938304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028554503005123737,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.002633248432773384,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.002633753773467732,-0.0,-0.0,-0.0,-0.06381995452576975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0054438219883848485,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0035531056189848347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003551596949011519,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.052251756636785836,0.0,0.0,0.0,0.0,0.0,0.0024308923432995034,0.0,0.0,0.0,0.05225467673061184,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.03337418366746097,0.03396874613530948,0.034386146957992574,-0.0,-0.0,0.0,0.0,0.01424800989396499,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.004568414121172844,0.0,0.0,0.0,0.008862067202334055,0.034245995845382016,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0037039346135810335,0.0,0.0,0.0,0.008166747629024756,0.03289938515026406,0.0,0.0,0.0,0.0,-0.0,0.0,0.0029545319690704487,0.0,0.0,0.0,0.007844339542231163,0.03294459586851192,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013924112143287004,0.07412304397897379,0.07412341960240894,0.07412391374678268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.006654991289891202,-0.006746170331246523,-0.006646418873663906,-0.0,-0.006455501150751857,-0.006364078161999454,-0.0,-0.006463495482194242,-0.0,-0.0
2,-0.0,-0.015201313911626569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02813640803379969,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0020772683475946134,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.002077745429441739,-0.0,-0.0,-0.0,-0.0649039171488253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0045156645103129715,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0033886898822702706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033874285992852816,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.052081314009689274,0.0,0.0,0.0,0.0,0.0,0.002403643380637231,0.0,0.0,0.0,0.052083737863720114,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.03337501340278869,0.03393579332345269,0.034368843277142555,-0.0,-0.0,0.0,0.0,0.014430342152274012,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.004232115457927661,0.0,0.0,0.0,0.008823026174998937,0.034359398888241625,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0035002152544489915,0.0,0.0,0.0,0.008210253441893493,0.0330864232585412,0.0,0.0,0.0,0.0,-0.0,0.0,0.002709707953009082,0.0,0.0,0.0,0.007841309232416676,0.03301252537449592,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014111469045651102,0.07359451049334916,0.07359476836427796,0.07359525238916514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.006364247902757156,-0.006458978292936011,-0.006378426004995472,-0.0,-0.006203123546255389,-0.006108147970872867,-0.0,-0.006188403890527722,-0.0,-0.0
3,-0.0,-0.014424721871135308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.027718415229233677,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0015216693130291339,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0015221152062621936,-0.0,-0.0,-0.0,-0.06598132426387927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0035877350256786258,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0032241918829505867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003223173889378301,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.05191120971121918,0.0,0.0,0.0,0.0,0.0,0.0023761142560596166,0.0,0.0,0.0,0.051913145996776655,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.03338545469945718,0.03390795102516279,0.03434919792969709,-0.0,-0.0,0.0,0.0,0.014610642136753773,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.003893079658288558,0.0,0.0,0.0,0.008780544075725163,0.034457332348634274,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.003290231921924493,0.0,0.0,0.0,0.008250315171266205,0.03326819177462097,0.0,0.0,0.0,0.0,-0.0,0.0,0.0024740364815055127,0.0,0.0,0.0,0.007844915144236405,0.03308853756904343,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014300717621752808,0.07306613038348655,0.07306627084590575,0.07306672932457894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.006075473461271645,-0.0061719530502670605,-0.006108683818655821,-0.0,-0.005948883748031892,-0.005852150558367385,-0.0,-0.005915153218362969,-0.0,-0.0
4,-0.0,-0.013654113445013473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02730051865426216,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0009664498941127667,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0009668622103841452,-0.0,-0.0,-0.0,-0.06705224297378547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.002660030684974407,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0030596155177665344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030588271825217816,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.051741429104788156,0.0,0.0,0.0,0.0,0.0,0.002348316658334454,0.0,0.0,0.0,0.05174290608145633,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.03340747034614886,0.03388829515086837,0.03432955955576732,-0.0,-0.0,0.0,0.0,0.014788962477767181,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0035537560444429623,0.0,0.0,0.0,0.008735898126539028,0.03453752747702801,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.003071985175254331,0.0,0.0,0.0,0.008285458869499702,0.0334400653824884,0.0,0.0,0.0,0.0,-0.0,0.0,0.0022470288477452155,0.0,0.0,0.0,0.007855320312696104,0.03317218461481041,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014491809906872452,0.07253789878391999,0.0725379305542496,0.07253835216443962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.00578864808883336,-0.005885275870175918,-0.0058373901621506085,-0.0,-0.005692798417201872,-0.005595907519277968,-0.0,-0.005643549935376946,-0.0,-0.0
5,-0.0,-0.012889428780807139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026882721072718406,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0004116057216574857,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.00041198304754650123,-0.0,-0.0,-0.0,-0.06811673014097815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.001732553382184271,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0028949684812320364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028943999203206203,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.05157196240178242,0.0,0.0,0.0,0.0,0.0,0.002320238977511362,0.0,0.0,0.0,0.051573000293255615,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.033437676761294555,0.03387469366809999,0.034310305384749884,-0.0,-0.0,0.0,0.0,0.014965921759563697,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0032146958553388514,0.0,0.0,0.0,0.00868998874296142,0.03460525504895005,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0028477863125872215,0.0,0.0,0.0,0.008316975126718973,0.033604395184743244,0.0,0.0,0.0,0.0,-0.0,0.0,0.0020258727847771154,0.0,0.0,0.0,0.007870378791073187,0.03326096459004155,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01468412956668467,0.07200981287213268,0.07200974019513304,0.07201011506104057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.005503704829222686,-0.0055990797740687786,-0.005564745898747252,-0.0,-0.005434933632854679,-0.005339281931426764,-0.0,-0.005373389658159986,-0.0,-0.0
6,-0.0,-0.012188655877106713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026498415995216545,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.06892116180519921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0008291111487389487,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.002735017674243877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002734648386383704,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.051477303649784686,0.0,0.0,0.0,0.0,0.0,0.0021678898247011586,0.0,0.0,0.0,0.051477989636217275,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.03347531609191297,0.03386723244509555,0.03429221204529312,-0.0,-0.0,0.0,0.0,0.01517747071809976,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0028788098604817123,0.0,0.0,0.0,0.00863324706979242,0.034661539569832325,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.002619692200118675,0.0,0.0,0.0,0.008334522333455744,0.0337603272735085,0.0,0.0,0.0,0.0,-0.0,0.0,0.0018112308650431361,0.0,0.0,0.0,0.007879044455761878,0.033353639523098645,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014913086984274345,0.07146845256537171,0.07146830803859001,0.07146867036701612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.00521728311240126,-0.005310072673619685,-0.005287512472198475,-0.0,-0.005172039462458668,-0.005078972676948081,-0.0,-0.00510134197936543,-0.0,-0.0
7,-0.0,-0.011657010046871571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0262090591288317,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.06899141129126644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0025885989098246623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00258837931236692,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.05159725892815873,0.0,0.0,0.0,0.0,0.0,0.0016586168565570177,0.0,0.0,0.0,0.05159756737920077,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.03351935930253529,0.03386575206192563,0.03427583616140965,-0.0,-0.0,0.0,0.0,0.015490599059435804,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0025508057556992503,0.0,0.0,0.0,0.008547182745934991,0.0347072584869336,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.002391539107601077,0.0,0.0,0.0,0.00831876549507645,0.033906700456533614,0.0,0.0,0.0,0.0,-0.0,0.0,0.0016054210973787876,0.0,0.0,0.0,0.007861151834262623,0.03344857839106521,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015245166339731971,0.07088869351875193,0.07088846331647486,0.07088877071118342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0049229050097727425,-0.005012101244873466,-0.004999858846870585,-0.0,-0.0048982939532849976,-0.004808836470189576,-0.0,-0.004820912949622305,-0.0,-0.0
8,-0.0,-0.010043139474038435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02520767848461848,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0010900897816795898,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.06917570406449046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0024102425634586807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024100387203277707,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.05166730437612594,0.0,0.0,0.0,0.0,0.0,0.0012227052788448896,0.0,0.0,0.0,0.051667589811922834,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.03357254267101864,0.03391149219766171,0.0343144510999743,-0.0,-0.0,0.0,0.0,0.015747004082962313,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0022905387376234427,0.0,0.0,0.0,0.00851599050571124,0.03473926860614544,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0021372323583301336,0.0,0.0,0.0,0.008294336778453452,0.03395799381376765,0.0,0.0,0.0,0.0,-0.0,0.0,0.0013675507840122593,0.0,0.0,0.0,0.007845644527143498,0.0335059102799943,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015506431023023329,0.07032411567270408,0.07032389212675351,0.07032420391035361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.004651438329319601,-0.0047354466316717435,-0.004721708331598462,-0.0,-0.004623825761793171,-0.004539550995543756,-0.0,-0.00455314124828219,-0.0,-0.0
9,-0.0,-0.008188311831928086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02405733469963804,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.002510707814973741,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.06933084972196056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.002233312510341943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022331091616082863,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0517350765311178,0.0,0.0,0.0,0.0,0.0,0.0007897600179108656,0.0,0.0,0.0,0.05173536069697268,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.03363100356395149,0.033965497810590356,0.034362073464240306,-0.0,-0.0,0.0,0.0,0.016006106680947953,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.002030954707158365,0.0,0.0,0.0,0.008487450804766908,0.034775366133583195,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0018769196267806399,0.0,0.0,0.0,0.008268038592608903,0.0340074601740438,0.0,0.0,0.0,0.0,-0.0,0.0,0.00112302915703094,0.0,0.0,0.0,0.007828857554079312,0.03356512162077214,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01576922937393466,0.06976263441893274,0.06976240104314187,0.06976271789888497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.004381574240654201,-0.004460200376151691,-0.004444172610737137,-0.0,-0.00434936416026937,-0.004270452458443873,-0.0,-0.004286350642732995,-0.0,-0.0
